PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Don Reid,DET,23,47,31,16,9.8,2.8,1.1,2.4,48.2,0.0,0.0,0.0,0.5,0.7,75.0,0.8,1.4,2.1,0.3,0.5,0.3,0.3,2.2,7.3,1.0,0.0,-0.9
Joe Courtney,SAS,27,9,3,6,11.2,2.8,1.2,3.3,36.7,0.0,0.0,0.0,0.3,0.6,60.0,1.0,0.8,1.8,0.0,0.3,0.0,0.0,1.6,4.6,0.0,0.0,-1.0
Michael Hawkins,BOS,24,29,3,26,11.2,2.8,1.0,2.3,42.6,0.3,1.1,32.3,0.4,0.5,80.0,0.3,0.8,1.1,2.2,1.0,0.6,0.0,1.4,8.1,0.0,0.0,-1.8
George Zidek,DEN,23,52,22,30,7.2,2.8,0.9,2.3,41.5,0.0,0.0,0.0,0.9,1.1,78.9,0.7,1.0,1.7,0.3,0.5,0.1,0.1,1.2,5.1,0.0,0.0,-2.2
Jimmy Oliver,TOR,27,4,2,2,10.7,2.8,1.0,3.3,30.8,0.3,1.5,16.7,0.5,0.5,100,0.3,1.0,1.3,0.3,0.8,0.5,0.0,0.5,5.4,0.0,0.0,-9.5
Antonio Lang,CLE,25,64,32,32,13.2,2.7,1.1,2.5,42.0,0.0,0.1,0.0,0.5,0.8,72.9,0.8,1.2,2.0,0.5,0.8,0.5,0.5,1.7,8.0,0.0,0.0,0.0
Mike Brown,PHX,33,6,3,3,13.6,2.7,0.8,2.0,41.7,0.0,0.0,0.0,1.0,1.7,60.0,1.5,2.7,4.2,0.8,0.3,0.2,0.2,1.5,9.6,0.0,0.0,-1.3
Evric Gray,NJN,27,5,0,5,8.5,2.6,0.8,3.0,26.7,0.2,0.8,25.0,0.8,0.8,100,0.2,0.4,0.6,0.4,0.6,0.2,0.0,1.0,3.9,0.0,0.0,3.4
Eric Mobley,VAN,27,28,1,27,10.9,2.6,1.0,2.3,44.4,0.0,0.0,0.0,0.6,1.1,53.3,1.1,1.0,2.1,0.5,1.0,0.2,0.4,1.6,6.4,0.0,0.0,-3.3
Duane Causwell,SAC,29,46,17,29,12.9,2.6,1.0,2.0,51.1,0.0,0.1,66.7,0.4,0.8,54.1,1.2,1.5,2.8,0.4,0.7,0.3,0.8,2.8,9.2,1.0,0.0,-2.9
Rick Mahorn,DET,38,22,17,5,9.9,2.5,0.9,2.5,37.0,0.0,0.0,0.0,0.7,1.0,72.7,0.9,1.5,2.4,0.3,0.5,0.2,0.1,1.5,6.3,0.0,0.0,-0.5
Antonio Harvey,SEA,26,6,6,0,4.4,2.5,0.8,1.8,45.5,0.0,0.0,0.0,0.8,1.0,83.3,0.3,1.3,1.7,0.2,0.2,0.0,0.7,1.3,6.6,0.0,0.0,-0.7
Donnie Boyce,ATL,23,22,17,5,7.0,2.5,1.0,2.9,33.3,0.1,0.7,12.5,0.5,1.0,50.0,0.3,0.4,0.7,0.6,0.7,0.5,0.2,0.8,5.4,0.0,0.0,-1.3
Pervis Ellison,BOS,30,6,1,5,20.7,2.5,1.0,2.7,37.5,0.0,0.0,0.0,0.5,0.8,60.0,1.5,2.8,4.3,0.7,1.2,0.8,1.5,3.5,14.5,0.0,0.0,1.3
